netannounce: binding socket to local addr
got scheduler:  return = 0 
-----------------------------------------------------------
Server listening on 5202
-----------------------------------------------------------
Server accepts new client
Time: Sun, 07 Jun 2020 15:50:34 GMT
Accepted connection from 192.168.53.10, port 38052
[ ID] Interval           Transfer     Bandwidth
[  2] 116.00-117.00 sec   141 KBytes  1.15 Mbits/sec                  
[  1] 117.00-118.00 sec   188 KBytes  1.54 Mbits/sec                  
[  2] 117.00-118.00 sec   130 KBytes  1.06 Mbits/sec                  
[  1] 118.00-119.00 sec   132 KBytes  1.08 Mbits/sec                  
[  2] 118.00-119.00 sec   153 KBytes  1.26 Mbits/sec                  
[  1] 119.00-120.00 sec   146 KBytes  1.20 Mbits/sec                  
[  2] 119.00-120.00 sec   128 KBytes  1.05 Mbits/sec                  
[  1] 120.00-120.59 sec  73.9 KBytes  1.02 Mbits/sec                  
[  2] 120.00-120.59 sec  83.7 KBytes  1.15 Mbits/sec                  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth
[  1]   0.00-120.59 sec  0.00 Bytes  0.00 bits/sec                  sender
[  1]   0.00-120.59 sec  13.7 MBytes   952 Kbits/sec                  receiver
[  2]   0.00-120.59 sec  0.00 Bytes  0.00 bits/sec                  sender
[  2]   0.00-120.59 sec  14.9 MBytes  1.04 Mbits/sec                  receiver
writing results to json file: results/0/iperf_1591545035_server_isReceiver.json 

netannounce: binding socket to local addr
got scheduler:  return = 0 
-----------------------------------------------------------
Server listening on 5202
-----------------------------------------------------------
Server accepts new client
Time: Sun, 07 Jun 2020 15:52:39 GMT
Accepted connection from 192.168.53.10, port 38062
[ ID] Interval           Transfer     Bandwidth
[  1]   0.00-1.00   sec  68.4 KBytes   560 Kbits/sec                  
[  2]   0.00-1.00   sec  62.8 KBytes   514 Kbits/sec                  
[  1]   1.00-2.00   sec  96.2 KBytes   788 Kbits/sec                  
[  2]   1.00-2.00   sec   100 KBytes   822 Kbits/sec                  
[  1]   2.00-3.00   sec   116 KBytes   948 Kbits/sec                  
[  2]   2.00-3.00   sec   119 KBytes   971 Kbits/sec                  
